2025-12-03 23:21:04.910 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:10.020 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:15.185 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:20.308 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:25.417 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:30.546 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:35.815 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:40.926 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:46.189 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:51.303 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:21:56.431 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:22:01.612 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:06.752 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:11.943 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 23:22:17.061 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:22.171 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:27.342 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:32.418 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:37.563 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:42.690 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:47.811 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:22:52.964 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:22:58.076 [warning] [Decorations] CAPPING events from decorations provider vscode.git 300
2025-12-03 23:23:03.187 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:08.256 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:13.359 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:18.452 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:23.519 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:28.668 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:33.809 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:38.913 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:44.103 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:49.206 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:54.306 [warning] [Decorations] CAPPING events from decorations provider vscode.git 301
2025-12-03 23:23:59.419 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:04.481 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:24:09.533 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:24:14.597 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:19.653 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:24.717 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
